guard,coreLen,coreTh,exitTh,tp,sl,maxBars,trainN,trainExp,trainPF,trainWin,testN,testExp,testPF,testWin,testDD,robust
none,3,10,60,2,2,48,448,-0.075,0.965,27.9,196,-0.175,0.887,31.0,-19.0,2
none,3,10,60,2,3,0,429,-0.083,0.950,36.2,181,-0.084,0.953,40.2,-22.4,2
none,3,10,60,2,3,24,429,-0.083,0.950,36.2,181,-0.084,0.953,40.2,-22.4,2
none,3,10,60,2,3,48,429,-0.083,0.950,36.2,181,-0.084,0.953,40.2,-22.4,2
none,3,10,60,2,5,0,398,-0.275,0.895,46.2,160,0.391,1.183,56.3,-22.6,4
none,3,10,60,2,5,24,398,-0.275,0.895,46.2,160,0.391,1.183,56.3,-22.6,4
none,3,10,60,2,5,48,398,-0.275,0.895,46.2,160,0.391,1.183,56.3,-22.6,4
none,3,10,60,3,2,0,448,-0.062,0.977,25.9,196,0.034,1.019,28.9,-19.1,3
none,3,10,60,3,2,24,448,-0.062,0.977,25.9,196,0.034,1.019,28.9,-19.1,3
none,3,10,60,3,2,48,448,-0.062,0.977,25.9,196,0.034,1.019,28.9,-19.1,3
none,3,10,60,3,3,0,429,-0.035,0.975,34.2,181,0.055,1.026,36.9,-22.8,3
none,3,10,60,3,3,24,429,-0.035,0.975,34.2,181,0.055,1.026,36.9,-22.8,3
none,3,10,60,3,3,48,429,-0.035,0.975,34.2,181,0.055,1.026,36.9,-22.8,3
none,3,10,60,3,5,0,396,-0.249,0.907,43.8,160,0.453,1.206,52.4,-22.9,4
none,3,10,60,3,5,24,396,-0.249,0.907,43.8,160,0.453,1.206,52.4,-22.9,4
none,3,10,60,3,5,48,396,-0.249,0.907,43.8,160,0.453,1.206,52.4,-22.9,4
none,3,10,70,0,2,0,447,-0.106,0.946,16.1,196,0.366,1.206,21.7,-19.5,5
none,3,10,70,0,2,24,447,-0.106,0.946,16.1,196,0.366,1.206,21.7,-19.5,5
none,3,10,70,0,2,48,447,-0.106,0.946,16.1,196,0.366,1.206,21.7,-19.5,5
none,3,10,70,0,3,0,425,0.045,1.011,21.7,181,0.410,1.171,29.2,-25.7,4
none,3,10,70,0,3,24,425,0.045,1.011,21.7,181,0.410,1.171,29.2,-25.7,4
none,3,10,70,0,3,48,425,0.045,1.011,21.7,181,0.410,1.171,29.2,-25.7,4
none,3,10,70,0,5,0,388,-0.433,0.879,28.0,158,0.412,1.145,39.9,-32.0,3
none,3,10,70,0,5,24,388,-0.452,0.875,27.7,158,0.382,1.135,39.9,-32.7,3
none,3,10,70,0,5,48,388,-0.433,0.879,28.0,158,0.412,1.145,39.9,-32.0,3
none,3,10,70,2,2,0,448,-0.059,0.975,27.9,196,-0.168,0.892,31.0,-18.8,2
none,3,10,70,2,2,24,448,-0.059,0.975,27.9,196,-0.168,0.892,31.0,-18.8,2
none,3,10,70,2,2,48,448,-0.059,0.975,27.9,196,-0.168,0.892,31.0,-18.8,2
none,3,10,70,2,3,0,429,-0.067,0.958,36.2,181,-0.075,0.958,40.2,-22.1,2
none,3,10,70,2,3,24,429,-0.067,0.958,36.2,181,-0.075,0.958,40.2,-22.1,2
none,3,10,70,2,3,48,429,-0.067,0.958,36.2,181,-0.075,0.958,40.2,-22.1,2
none,3,10,70,2,5,0,398,-0.257,0.902,46.2,160,0.415,1.195,56.9,-22.3,4
